Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,RELIANCE,EQ,233.05,237.5,251.7,237.5,251.7,251.7,249.37,4456424,111131914445000,,,
2000-01-04,RELIANCE,EQ,251.7,258.4,271.85,251.3,271.85,271.85,263.52,9487878,250022190690000,,,
2000-01-05,RELIANCE,EQ,271.85,256.65,287.9,256.65,286.75,282.5,274.79,26833684,737369727570000,,,
2000-01-06,RELIANCE,EQ,282.5,289,300.7,289,293.5,294.35,295.45,15682286,463325404089999,,,
2000-01-07,RELIANCE,EQ,294.35,295,317.9,293,314.5,314.55,308.91,19870977,613838765740000,,,
2000-01-10,RELIANCE,EQ,314.55,317.4,318.7,305.3,306.65,308.5,312.35,13417057,419085494795000,,,
2000-01-11,RELIANCE,EQ,308.5,307.95,310.95,283.85,288.5,288.5,296.4,12544322,371819207090000,,,
2000-01-12,RELIANCE,EQ,288.5,289,305,282.15,304.7,301.7,294.57,12109507,356708113910000,,,
2000-01-13,RELIANCE,EQ,301.7,306,316.4,304.1,309.75,311.85,311.79,17076042,532418081645000,,,
2000-01-14,RELIANCE,EQ,311.85,309.5,321.65,309.5,317,316.3,316.17,13460592,425587852020000,,,
2000-01-17,RELIANCE,EQ,316.3,318.25,322.9,307.05,307.5,308.75,315.77,10729180,338798432540000,,,
2000-01-18,RELIANCE,EQ,308.75,309,318.95,305.55,318.25,314.2,312.14,10083321,314736518215000,,,
2000-01-19,RELIANCE,EQ,314.2,322.85,324.9,316.2,318.8,319.6,321.17,11481392,368749027475000,,,
2000-01-20,RELIANCE,EQ,319.6,320,324.9,310.55,311.5,312.85,318.95,15428711,492094858760000,,,
2000-01-21,RELIANCE,EQ,312.85,312.7,328.4,312,327.5,326.35,322.05,17137072,551904815270000,,,
2000-01-24,RELIANCE,EQ,326.35,325.5,331.85,322,326.5,326.15,327.87,13163301,431588146595000,,,
2000-01-25,RELIANCE,EQ,326.15,325.05,325.3,318.25,321.05,319.95,321.77,9752949,313821754210000,,,
2000-01-27,RELIANCE,EQ,319.95,329,336.8,322.7,334.5,334.95,331.67,15014556,497986348055000,,,
2000-01-28,RELIANCE,EQ,334.95,335.9,341.9,331.6,337.25,338.35,337.97,11734252,396581784920000,,,
2000-01-31,RELIANCE,EQ,338.35,334.45,336,326.55,327.05,328.15,331.46,10191331,337800823870000,,,
2000-02-01,RELIANCE,EQ,328.15,330.8,337.45,328,336.05,334.05,334.35,10707804,358013722035000,,,
2000-02-02,RELIANCE,EQ,334.05,342.9,346.9,338.55,339.1,340.15,343.07,9950848,341388434825000,,,
2000-02-03,RELIANCE,EQ,340.15,342,343.5,336.4,342.5,341.65,340.17,6771527,230344678100000,,,
2000-02-04,RELIANCE,EQ,341.65,344,347.35,341.7,342.75,344.15,344.87,7106910,245093117850000,,,
2000-02-07,RELIANCE,EQ,344.15,341.1,349.45,338.05,343,343.6,345.9,8193641,283415414590000,,,
2000-02-08,RELIANCE,EQ,343.6,345.5,346.9,341.05,342.1,342.4,344,6430661,221214659235000,,,
2000-02-09,RELIANCE,EQ,342.4,349,354.65,344.8,346.7,350.4,350.02,11436821,400308862560000,,,
2000-02-10,RELIANCE,EQ,350.4,348.8,363.8,344.9,363,355.75,352.92,10792579,380886496820000,,,
2000-02-11,RELIANCE,EQ,355.75,364,374,360.05,361.4,363.3,366.5,8155627,298899719775000,,,
2000-02-14,RELIANCE,EQ,363.3,359,360.9,350,350.8,352.1,355.41,5127399,182230982625000,,,
2000-02-15,RELIANCE,EQ,352.1,352,354.4,342.05,343.5,344.35,348.97,8124337,283512695225000,,,
2000-02-16,RELIANCE,EQ,344.35,350,353.8,343.1,346.75,348.15,348.91,7876392,274815741525000,,,
2000-02-17,RELIANCE,EQ,348.15,347.7,356.8,347.5,355.4,354.55,353.61,7670820,271245358435000,,,
2000-02-18,RELIANCE,EQ,354.55,356.9,357.95,348,350.3,349.45,353.11,5030667,177638929900000,,,
2000-02-21,RELIANCE,EQ,349.45,348.4,352,341.65,344,345.65,347.65,2944404,102362029135000,,,
2000-02-22,RELIANCE,EQ,345.65,346,347,332.5,335.25,334.35,338.6,7192242,243527061335000,,,
2000-02-23,RELIANCE,EQ,334.35,344.7,344.7,327.3,330,329.8,336.8,4831725,162732064455000,,,
2000-02-24,RELIANCE,EQ,329.8,332.9,340.7,329.3,339,336.75,336.11,5663873,190370496045000,,,
2000-02-25,RELIANCE,EQ,336.75,341.4,342.9,326.1,326.9,328.6,334.39,3912097,130814752575000,,,
2000-02-28,RELIANCE,EQ,328.6,324.85,337.25,310,337.25,333.1,326.95,5026004,164326970280000,,,
2000-02-29,RELIANCE,EQ,333.1,337.9,342.85,306.45,309.5,310.85,330.53,9970107,329542178650000,,,
2000-03-01,RELIANCE,EQ,310.85,315,329.85,299,317.25,316.8,313.87,10765888,337906497250000,,,
2000-03-02,RELIANCE,EQ,316.8,318.85,322,291.5,291.5,291.75,304.69,12536245,381964228030000,,,
2000-03-03,RELIANCE,EQ,291.75,286.1,286.1,268.45,268.45,268.45,272.37,4636776,126293615445000,,,
2000-03-06,RELIANCE,EQ,268.45,268.45,283.85,247,254.7,253.95,266.91,10430713,278402377635000,,,
2000-03-07,RELIANCE,EQ,253.95,257,259,240,244.5,242.3,247.15,9560450,236287027980000,,,
2000-03-08,RELIANCE,EQ,242.3,246.9,250.5,230,234.3,232.95,240.78,7256376,174718646065000,,,
2000-03-09,RELIANCE,EQ,232.95,235.9,242.4,224.15,230.9,231.3,232.51,5545792,128944788695000,,,
2000-03-10,RELIANCE,EQ,231.3,234,234.8,214.6,218.4,216.85,223.16,6597169,147221505515000,,,
