Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,TISCO,EQ,142.35,148,153.2,146.1,152.5,152.45,150.92,2003185,30231643945000,,,
2000-01-04,TISCO,EQ,152.45,150.1,153,143.05,151.95,150.8,151.03,1555136,23487854555000,,,
2000-01-05,TISCO,EQ,150.8,144.6,162.9,144.6,158,156.55,156.85,3840284,60233642705000,,,
2000-01-06,TISCO,EQ,156.55,158.95,169.1,158.95,169,168.25,167.61,2560449,42915295930000,,,
2000-01-07,TISCO,EQ,168.25,173.4,179,166.3,170.55,171.95,173.89,3641691,63324587285000,,,
2000-01-10,TISCO,EQ,171.95,173.95,184.9,173.95,179,182.25,180.32,4642054,83706263495000,,,
2000-01-11,TISCO,EQ,182.25,179,180,167.7,167.7,167.7,170.99,1705968,29170586570000,,,
2000-01-12,TISCO,EQ,167.7,165,172,159.15,166.5,165.3,165.39,2337738,38664964255000,,,
2000-01-13,TISCO,EQ,165.3,167.9,170,156.05,158.7,159.2,163,1584803,25831999455000,,,
2000-01-14,TISCO,EQ,159.2,161,161.9,156,159.25,158.7,158.87,1541731,24494183355000,,,
2000-01-17,TISCO,EQ,158.7,164.95,171.4,163.1,165.5,166.8,168.19,3326270,55944540045000,,,
2000-01-18,TISCO,EQ,166.8,166.9,176,163.25,175,172.8,169.43,3516827,59585991685000,,,
2000-01-19,TISCO,EQ,172.8,177,178,171,171.25,172.85,174.04,2617065,45547525430000,,,
2000-01-20,TISCO,EQ,172.85,171,179,160.7,161,163.1,171.22,8257650,141388116435000,,,
2000-01-21,TISCO,EQ,163.1,162.7,164.75,159.1,162,162.4,162.49,2794941,45415310200000,,,
2000-01-24,TISCO,EQ,162.4,163.9,163.9,150,150.9,151.15,157.14,2446509,38445557595000,,,
2000-01-25,TISCO,EQ,151.15,150,154,147,149,148.45,150.45,3030257,45591406095000,,,
2000-01-27,TISCO,EQ,148.45,151.4,153.5,147.5,148.2,148.3,150.04,1466342,22000530650000,,,
2000-01-28,TISCO,EQ,148.3,148,151,143.25,144.5,144.5,146.85,1996632,29320429630000,,,
2000-01-31,TISCO,EQ,144.5,143.1,144,138.6,139.6,139.35,141.67,1269284,17982567165000,,,
2000-02-01,TISCO,EQ,139.35,139.1,142.7,138.6,140.6,140.5,141.11,1748130,24668608040000,,,
2000-02-02,TISCO,EQ,140.5,143.7,145.25,140,141,141.05,142.96,1376545,19678806645000,,,
2000-02-03,TISCO,EQ,141.05,141.9,146.2,139.55,140.2,140,142.58,3275087,46696051175000,,,
2000-02-04,TISCO,EQ,140,141.9,142,139,140.4,140.1,140.02,1654411,23164599380000,,,
2000-02-07,TISCO,EQ,140.1,140,140.85,138.25,138.6,139,139.66,929743,12984614260000,,,
2000-02-08,TISCO,EQ,139,138.5,143.5,138.1,141.25,141.1,141.2,2677365,37803646775000,,,
2000-02-09,TISCO,EQ,141.1,145.4,150.25,143.1,143.9,144.4,147.07,2847687,41881436600000,,,
2000-02-10,TISCO,EQ,144.4,145.5,145.5,141.1,142,141.85,142.59,1093875,15597844575000,,,
2000-02-11,TISCO,EQ,141.85,143.8,143.95,139.75,140.5,140.2,141.06,1149793,16219524880000,,,
2000-02-14,TISCO,EQ,140.2,139,140.5,132.05,133.3,134.65,137.32,1013330,13914786910000,,,
2000-02-15,TISCO,EQ,134.65,133.5,137,130.25,131.5,131.75,133.83,1818713,24339184375000,,,
2000-02-16,TISCO,EQ,131.75,135.8,138,134.5,135,135.35,136.01,804018,10935233905000,,,
2000-02-17,TISCO,EQ,135.35,136,137.65,134.1,135.5,135.85,135.84,765613,10400155895000,,,
